"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"1","@MrBeastYT Amazon delivery","0","2020-05-05 15:27:05","FALSE","0","0",FALSE
"2","RT @B16_A1: Thank the lord for Amazon essential delivery..  ","1","2020-05-05 15:26:41","TRUE","1","0",FALSE
"3","Thank the lord for Amazon essential delivery..  ","1","2020-05-05 15:25:53","FALSE","1","1",FALSE
"4","Ordered a cheap table and chairs for our balcony on Amazon. Delivery delayed. Checked location of seller... Germany. FML.","-2","2020-05-05 15:25:45","FALSE","0","0",FALSE
"5","@PeachyKeenGreat @ADAMWTF1 @shaunking @amazon It would be great if Amazon stopped delivery to haters","0","2020-05-05 15:23:45","FALSE","0","1",FALSE
"6","@Robin_Blue19 It extends to the citizenry.... have you seen the comments under the news about amazon workers striki  ","0","2020-05-05 15:23:11","FALSE","0","0",FALSE
"7","RT @Vicky_Walters: My paperback has arrived!! And its SO pretty!  If you fancy a copy, you can order it from The Book Depository with fre","2","2020-05-05 15:22:33","TRUE","10","0",FALSE
"8","RT @WSJ: Dont wait for a delayed Amazon delivery. Small businesses around the country are turning around orders, fast.","0","2020-05-05 15:22:28","TRUE","133","0",FALSE
"9","RT @Giftideas17: I dont have an outdoor tap but Im desperate to powerwash my paving so I found this nifty little gadget (which I didnt k","0","2020-05-05 15:20:58","TRUE","4","0",FALSE
"10","RT @trillxlauren: Amazon Prime really left &amp; said fuck yall.

Delivery Date: Whenever.","-1","2020-05-05 15:20:52","TRUE","1","0",FALSE
"11","RT @Giftideas17: I dont have an outdoor tap but Im desperate to powerwash my paving so I found this nifty little gadget (which I didnt k","0","2020-05-05 15:20:33","TRUE","4","0",TRUE
"12","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 15:20:20","TRUE","26","0",FALSE
"13","RT @Giftideas17: I dont have an outdoor tap but Im desperate to powerwash my paving so I found this nifty little gadget (which I didnt k","0","2020-05-05 15:20:16","TRUE","4","0",TRUE
"14","RT @Giftideas17: I dont have an outdoor tap but Im desperate to powerwash my paving so I found this nifty little gadget (which I didnt k","0","2020-05-05 15:20:06","TRUE","4","0",TRUE
"15","I dont have an outdoor tap but Im desperate to powerwash my paving so I found this nifty little gadget (which I d  ","0","2020-05-05 15:19:57","FALSE","4","7",FALSE
"16","@Dd0llars Our apologies for the longer than expected wait. May we know the current status and delivery date as show  ","0","2020-05-05 15:19:17","FALSE","0","0",FALSE
"17","@DanDribbler Hey, we would ask not to post personal information. Were temporarily experiencing longer than usual d  ","0","2020-05-05 15:19:05","FALSE","0","0",FALSE
"18","RT @JoeYoungComedy: If I ran Amazon I would be better than Jeff Bezos. Not only because Id give all my delivery drivers health insurance,","1","2020-05-05 15:18:33","TRUE","2","0",FALSE
"19","@HelenKennedy @SpiroAgnewGhost Its personal. He believes USPS gave Amazon too sweet a deal for last mile delivery.  ","1","2020-05-05 15:18:30","FALSE","0","0",FALSE
"20","RT @JoeYoungComedy: If I ran Amazon I would be better than Jeff Bezos. Not only because Id give all my delivery drivers health insurance,","1","2020-05-05 15:17:44","TRUE","2","0",TRUE
"21","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 15:16:57","TRUE","26","0",TRUE
"22","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 15:15:18","TRUE","26","0",TRUE
"23","@AmazonHelp Any update?? When will amazon restart the delivery to 182202 . It was stopped in aug 2019. Not related  ","0","2020-05-05 15:15:09","FALSE","0","0",FALSE
"24","@MKBHD Amazon delivery tracking said guaranteed between 10-11:45. Driver arrived at complex at 9:30am, literally sp  ","-1","2020-05-05 15:13:46","FALSE","0","0",FALSE
"25","@CORSAIR Thank you for giving me a $15 delivery charge at checkout after claiming ""free shipping"". You got me to fi  ","2","2020-05-05 15:12:46","FALSE","0","0",FALSE
"26","@dhlexpressuk hi who can I contact about a DHL delivery generated in Germany, attempted to be delivered in the Amaz  ","0","2020-05-05 15:12:01","FALSE","0","0",FALSE
"27","@ArvindKejriwal @msisodia @AapKaGopalRai @SatyendarJain  HUMBLY REQUEST YOU THAT PLEASE TAKE OPTION OF HOME DELIVER  ","0","2020-05-05 15:11:35","FALSE","0","0",FALSE
"28","Dell WD19 180W Docking Station (130W Power Delivery) USB-C, HDMI, Dual DisplayPort, Black  ","0","2020-05-05 15:11:27","FALSE","0","0",FALSE
"29","@arunava @anujachauhan Yes , it's odd,bcoz Amazon has a sturdy logistics base of its own and for prime members deli  ","1","2020-05-05 15:11:11","FALSE","0","0",FALSE
"30","@mouthnoize I've been to doing 10 to 12 hours on the Amazon Prime delivery scene. I'm looking forward to staying home lol","0","2020-05-05 15:10:22","FALSE","0","0",FALSE
"31","RT @awscloud: Learn how to lower TCO &amp; increase query performance by running Hive on Spark in Amazon EMR:  ","0","2020-05-05 15:10:22","TRUE","6","0",FALSE
"32","@BryanJLevek Lol my 16yo is learning that lesson..I ordered him a hoodie he wanted..not from amazon but website sai  ","0","2020-05-05 15:10:03","FALSE","0","1",FALSE
"33","@ChrisSerres Any updates on P-EBT?

Also, I know pickup is free at Walmart but there are still delivery fees with W  ","1","2020-05-05 15:10:03","FALSE","0","0",FALSE
"34","@GillLindsay10 Hi, Gill! You can contact the seller directly through your order here:  ","0","2020-05-05 15:09:55","FALSE","0","0",FALSE
"35","RT @awscloud: Learn how to lower TCO &amp; increase query performance by running Hive on Spark in Amazon EMR:  ","0","2020-05-05 15:09:45","TRUE","6","0",TRUE
"36","I want to ask @MoHFW_INDIA @ArvindKejriwal
@PMOIndia
If revenue is necessary alcohol liquid wine bear 
Why  they  ","0","2020-05-05 15:09:11","FALSE","0","0",FALSE
"37","Im so annoyed with @amazon I waited almost a month for an order only to have it cancelled on the day of delivery.  ","-1","2020-05-05 15:09:10","FALSE","0","0",FALSE
"38","Amazon Prime really left &amp; said fuck yall.

Delivery Date: Whenever.","-1","2020-05-05 15:08:59","FALSE","1","1",FALSE
"39","How the fuck the delivery person for my package from amazon gonna leave that sticker saying I wasnt home at 9am du  ","-1","2020-05-05 15:08:19","FALSE","0","2",FALSE
"40","RT @awscloud: Learn how to lower TCO &amp; increase query performance by running Hive on Spark in Amazon EMR:  ","0","2020-05-05 15:07:31","TRUE","6","0",TRUE
"41","Love an Amazon delivery   ","1","2020-05-05 15:05:15","FALSE","0","3",FALSE
"42","@realmecareIN  hi realme am ordered 50 days before realme x2 in @flipkartsupport @Flipkart still I didn't get the d  ","0","2020-05-05 15:03:36","FALSE","0","0",FALSE
"43","RT @GillLindsay10: @AmazonHelp one of my items says delivery attempted, but the DHL tracking code given by the seller does not exist and DH","0","2020-05-05 15:02:52","TRUE","1","0",FALSE
"44","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 15:02:37","TRUE","26","0",TRUE
"45","@AmazonHelp one of my items says delivery attempted, but the DHL tracking code given by the seller does not exist a  ","0","2020-05-05 15:02:37","FALSE","1","0",FALSE
"46","@shop offsets delivery emissions by protecting trees in the Amazon rainforest. Shopbetter  ","0","2020-05-05 15:01:18","FALSE","0","0",FALSE
"47","RT @AhnaSGomez: Whoop whoop! Amazon delivery of the day! Cant wait to get started on @casas_jimmy latest book! My ELAR teachers would be s","0","2020-05-05 15:01:08","TRUE","1","0",FALSE
"48","Join @Amazon Prime for $12.99/mo and get free delivery, as fast as today. Fast, free and convenient ways to get mi  ","5","2020-05-05 15:00:43","FALSE","0","0",FALSE
"49","RT @awscloud: Learn how to lower TCO &amp; increase query performance by running Hive on Spark in Amazon EMR:  ","0","2020-05-05 14:59:40","TRUE","6","0",TRUE
