"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"1","@kkkhari @Pedigree_India @amazonIN That's excellent Hari... Yes Amazon and Flipkart also refused delivery to Pet Food.","0","2020-05-05 08:25:50","FALSE","0","0",FALSE
"2","@KartiPC Govt could couple their monopoly business with @amazon or @Walmart for hassle-free delivery rather musteri  ","0","2020-05-05 03:56:06","FALSE","0","1",FALSE
"3","@nirmaltv Yea, I got my Amazon delivery today, which was ordered on March","0","2020-05-04 08:08:14","FALSE","0","0",FALSE
"4","Thank God there are Big Basket and couriers like Delhivery who know the actual facts and deliver to my address wher  ","2","2020-05-04 05:07:11","FALSE","0","0",FALSE
"5","@george_TNIE So does this imply, Amazon and Flipkart delivery of items like mouse, laptop or any IT consumables not  ","1","2020-05-03 16:53:51","FALSE","0","0",FALSE
"6","RT @kboxstats: Hopes Amazon starts the delivery of non-essential items like external harddisk in red zone too....Laptop and phone are runn","1","2020-05-03 06:40:53","TRUE","4","0",FALSE
"7","Hopes Amazon starts the delivery of non-essential items like external harddisk in red zone too....Laptop and phone  ","1","2020-05-03 06:36:29","FALSE","4","25",FALSE
"8","Common man is suffering! Shortage of goods in many places. Many products are not available in the brick and mortar  ","-1","2020-05-03 03:25:11","FALSE","0","0",FALSE
"9","really pathetic service by amazon india. They dont even refund after the expected delivery date, put some lame excu  ","-1","2020-05-02 15:44:48","FALSE","0","0",FALSE
"10","@RealTamilSelvan Bro Amazon and flipkart mobile delivery undaa??","0","2020-05-02 02:45:36","FALSE","0","0",FALSE
"11","So,post the corona thing,
follow up of JioFacebook deal

A)reliance retail ltd. will expand
B)Home delivery wi  ","0","2020-05-01 20:00:46","FALSE","0","2",FALSE
"12","@amazonIN We need pet supplies in Madurai. Amazon  ","0","2020-05-01 06:02:25","FALSE","0","1",FALSE
"13","RT @NallappanarG: To
Amazon-India!
We ordered some essential items for our household-first order on25.3.2020 and second on1.4.2020but so fa","0","2020-04-30 17:21:42","TRUE","1","0",FALSE
"14","To
Amazon-India!
We ordered some essential items for our household-first order on25.3.2020 and second on1.4.2020but  ","0","2020-04-30 05:28:15","FALSE","1","2",FALSE
"15","The local kirana being rediscovered as the potential amazon through door delivery, online order processing and usin  ","0","2020-04-27 02:59:27","FALSE","0","0",FALSE
