"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"1","Deals Discounts

(Pack of 10)  Syska 9-Watt LED Bulb

736  ","1","2020-05-05 16:03:00","FALSE","0","0",FALSE
"2","@sourajitsaha17 @flipkartsupport Amazon is also showing some of the products which are also counted in essential, l  ","0","2020-05-05 15:58:44","FALSE","0","0",FALSE
"3","@ArvindKejriwal @msisodia @AapKaGopalRai @SatyendarJain  HUMBLY REQUEST YOU THAT PLEASE TAKE OPTION OF HOME DELIVER  ","0","2020-05-05 15:11:35","FALSE","0","0",FALSE
"4","@arunava @anujachauhan Yes , it's odd,bcoz Amazon has a sturdy logistics base of its own and for prime members deli  ","1","2020-05-05 15:11:11","FALSE","0","0",FALSE
"5","Deals Discounts

Safety Face Shield Transparent Full Face,Anti-Saliva Protective Hat

105  ","2","2020-05-05 14:46:53","FALSE","0","0",FALSE
"6","To avoid this kind of rush near Wine shop, Govt. should start home delivery facility with online stores like Flipka  ","1","2020-05-05 12:39:51","FALSE","0","0",FALSE
"7","@MoHFW_INDIA , @PIBHomeAffairs , @PMOIndia - Instead of opening liquor shops, kindly ensure online arrangement/door  ","1","2020-05-05 10:06:38","FALSE","0","0",FALSE
"8","@ArvindKejriwal @msisodia Sir govt can start delivery of liquor online to control public gathering. This will gener  ","0","2020-05-05 09:59:44","FALSE","0","0",FALSE
"9","@amazonIN My last 3 orders have been cancelled on the day of delivery without me getting any call by the delivery p  ","0","2020-05-05 09:19:46","FALSE","0","0",FALSE
"10","@AshishXL Ghar PE Bhejo...home delivery of liquor to be allowed I think Amazon will jump into delivery of liquor","0","2020-05-05 07:08:31","FALSE","0","0",FALSE
"11","@amazonIN if u r expecting doorstep delivery of heavy groceries from amazon,dont expect that.These guys r not givi  ","0","2020-05-05 06:56:29","FALSE","0","0",FALSE
"12","Amazon, Flipkart, Snapdeal, Paytm Starts Taking Orders for Non-EssentialProducts  ","0","2020-05-05 05:50:53","FALSE","0","0",FALSE
"13","RT @arav_im: Amazon Worst performer Amazon Delivery Shameful I have waited for seven days...Shame on you AmazonPrime AmazonIndia  ","-2","2020-05-05 05:21:39","TRUE","2","0",FALSE
"14","@TajinderBagga Sir, when Amazon is not allowed to deliver a book to me? You will allow home delivery of alcohol! Ky  ","0","2020-05-05 04:49:18","FALSE","0","0",FALSE
"15","Although liquor sale shdnt be allowed, bt Why not give the task of liqour sale and distribution to @amazon  ","0","2020-05-05 03:13:42","FALSE","0","0",FALSE
"16","@jagograhakjago Here is the resolution from @AmazonHelp. There is no fear of Govt and concern for customers in coun  ","-2","2020-05-05 01:19:19","FALSE","0","0",FALSE
"17","RT @GauravK25500863: Appended order was placed with a specific delivery date of 3rd May 2020, certainly, it has been delayed, but there is","-1","2020-05-04 20:07:15","TRUE","1","0",FALSE
"18","Order No. 408-2056852-4253935
Amazon is saying Customer has reqstd shipment to be deliverd on different date &amp; will  ","0","2020-05-04 19:47:49","FALSE","0","0",FALSE
"19","@ARanganathan72 Liquor shops reopened for 2 reasons. Frustrated citizens. No tax revenue to state. The sensible app  ","0","2020-05-04 19:30:36","FALSE","0","0",FALSE
"20","Appended order was placed with a specific delivery date of 3rd May 2020, certainly, it has been delayed, but there  ","-1","2020-05-04 19:02:24","FALSE","1","0",FALSE
"21","@narendramodi @PMOIndia @ArvindKejriwal @myogiadityanath @AmitShah @mlkhattar why can't Government give temporary a  ","0","2020-05-04 16:06:54","FALSE","0","0",FALSE
"22","@richaanirudh @aajtak @anjanaomkashyap Some really poor decisions by authorities : to charge fares from migrants...  ","-1","2020-05-04 15:24:44","FALSE","0","0",FALSE
"23","finally it's happened  
Amazon, Flipkart, Snapdeal, Paytm Starts Taking Orders for Non-Essential Products, Inc  ","0","2020-05-04 14:22:17","FALSE","0","1",FALSE
"24","@myogiadityanath @UPGovt @CMOfficeUP 
Dear Sir, A humble request to use online ordering platform like @amazon  ","2","2020-05-04 14:12:45","FALSE","0","0",FALSE
"25","*Le amazon and flipkart delivery Boys in orange zone and Green zone*  ","0","2020-05-04 13:55:49","FALSE","0","3",FALSE
"26","@vivekagnihotri Govt is hypocrite, if they so much like tax generated by liquor then they could allow  ","0","2020-05-04 12:29:31","FALSE","0","0",FALSE
"27","Amazon has opened for taking orders for @XiaomiIndia @Xiaomi  products Green/Orange zones.while taking all precauti  ","0","2020-05-04 12:28:06","FALSE","0","0",FALSE
"28","@ArvindKejriwal By opening liquor shops, its but natural there will be chaos. 

Don't open liquor shops. 

Instead  ","-1","2020-05-04 12:23:17","FALSE","0","0",FALSE
"29","@AmazonHelp No one attended delivery, neither they call me and In Amazon app it's showing Delivery attempted...how  ","0","2020-05-04 11:27:37","FALSE","0","0",FALSE
"30","@Nmisra7 But home delivery services by swiggy, zomato, Dunzo, Amazon, Grofers, Big Basket havent been stopped righ  ","0","2020-05-04 10:51:41","FALSE","0","0",FALSE
"31","@narendramodi Sir m pareshan hu amazon m delivery chalu kara do","0","2020-05-04 10:13:01","FALSE","0","0",FALSE
"32","@rij79 The fittest shall survive ! Home delivery of liquor is a good idea . It will create more jobs even if Amazon is to deliver it !!!","1","2020-05-04 08:03:27","FALSE","0","1",FALSE
"33","RT @BiIndia: Lockdown3 | @amazonIN, @snapdeal to begin delivery of non-essential goods in green and orange zones from May 4

 ","0","2020-05-04 07:19:41","TRUE","9","0",FALSE
"34","RT @BiIndia: Lockdown3 | @amazonIN, @snapdeal to begin delivery of non-essential goods in green and orange zones from May 4

 ","0","2020-05-04 06:33:14","TRUE","9","0",TRUE
"35","RT @BiIndia: Lockdown3 | @amazonIN, @snapdeal to begin delivery of non-essential goods in green and orange zones from May 4

 ","0","2020-05-04 06:10:14","TRUE","9","0",TRUE
"36","RT @BiIndia: Lockdown3 | @amazonIN, @snapdeal to begin delivery of non-essential goods in green and orange zones from May 4

 ","0","2020-05-04 06:06:59","TRUE","9","0",TRUE
"37","RT @BiIndia: Lockdown3 | @amazonIN, @snapdeal to begin delivery of non-essential goods in green and orange zones from May 4

 ","0","2020-05-04 06:05:48","TRUE","9","0",TRUE
"38","@ArvindKejriwal @msisodia @AamAadmiParty @AmitShah @narendramodi @PMOIndia Please allow home delivery of liquor. Fo  ","0","2020-05-04 05:34:54","FALSE","0","0",FALSE
"39","@oneplus @OnePlus_IN @verge Start the sale already @OnePlus_IN  u never know when govt put the delivery on hold. So  ","0","2020-05-04 05:05:54","FALSE","0","0",FALSE
"40","@AmitShah
@PMOIndia @LtGovDelhi @msisodia
Exams due soon.
All Bookshops closed in main markets.
Students sitting id  ","0","2020-05-04 04:55:17","FALSE","1","1",FALSE
"41","RT @ashokdilliwala: @MHRD 
@NBTDilli
@AmitShah
@PMOIndia @LtGovDelhi
Exams due soon.
All Bookshops closed in main markets.
Students sitting","0","2020-05-04 04:52:58","TRUE","1","0",FALSE
"42","@MHRD 
@NBTDilli
@AmitShah
@PMOIndia @LtGovDelhi
Exams due soon.
All Bookshops closed in main markets.
Students sit  ","0","2020-05-04 04:52:50","FALSE","1","1",FALSE
"43","RT @ashokdilliwala: @nitin_gadkari
@NBTDilli
@BBCHindi
@AmitShah
@PMOIndia @LtGovDelhi @msisodia
Exams due soon.
All Bookshops closed in ma","0","2020-05-04 04:50:22","TRUE","1","0",FALSE
"44","@nitin_gadkari
@NBTDilli
@BBCHindi
@AmitShah
@PMOIndia @LtGovDelhi @msisodia
Exams due soon.
All Bookshops closed i  ","0","2020-05-04 04:50:16","FALSE","1","1",FALSE
"45","RT @ashokdilliwala: @PMOIndia @MHRD @LtGovDelhi @msisodia
Exams due soon.
All Bookshops closed in main markets.
Students sitting idle witho","-1","2020-05-04 04:48:03","TRUE","1","0",FALSE
"46","@PMOIndia @MHRD @LtGovDelhi @msisodia
Exams due soon.
All Bookshops closed in main markets.
Students sitting idle w  ","-1","2020-05-04 04:47:51","FALSE","1","1",FALSE
"47","@amazon  delivery not yet resumed in code 201301 though not all sectors come under containment zone!!! Any hope whe  ","0","2020-05-04 04:14:34","FALSE","0","0",FALSE
"48","Amazon has started non essential delivery what is stopping @flipkartsupport ??
The Mobile i gets to order is only available in flipkart.","1","2020-05-04 04:02:25","FALSE","0","1",FALSE
"49","Amazon, Flipkart non-essential delivery begins on May 4: What you must know before ordering - The Indian Express...","0","2020-05-04 01:05:52","FALSE","0","0",FALSE
"50","Amazon Part Time Delivery jobs-Earn 18000 inHour  ","0","2020-05-03 22:39:54","FALSE","0","0",FALSE
"51","RT @debenmoza: @AmazonHelp No response to my request yet and highly disappointed with unprofessional behaviour. I have not decide to cance","-1","2020-05-03 17:35:42","TRUE","2","0",FALSE
"52","RT @debenmoza: @AmazonHelp No response to my request yet and highly disappointed with unprofessional behaviour. I have not decide to cance","-1","2020-05-03 17:26:54","TRUE","2","0",TRUE
"53","@AmazonHelp No response to my request yet and highly disappointed with unprofessional behaviour. I have not decide  ","-1","2020-05-03 17:26:15","FALSE","2","1",FALSE
"54","@amazon 
What is this?
Selling price 150
Delivery 350  ","0","2020-05-03 14:44:40","FALSE","0","0",FALSE
"55","@narendramodi Sir, Flipkart and Amazon are not delivering essential items in varanasi region. Due to total lockdown  ","0","2020-05-03 13:35:52","FALSE","0","0",FALSE
"56","@AmazonHelp @JeffBezos @AmitAgarwal @amazonIN @amazon Is this the way your team support ? Isn't it your team's resp  ","1","2020-05-03 10:52:01","FALSE","0","0",FALSE
"57","RT @ajaysinghi11: @AmitAgarwal @JeffBezos @amazonIN @AmazonHelp @amazon We know situation is tough but we really expect from you to deliver","1","2020-05-03 07:23:43","TRUE","2","0",FALSE
"58","Appreciate d switch from plastic 2 paper but so much of paper packaging for a packet of cornflakes.
Don't even feel  ","1","2020-05-03 07:16:44","FALSE","0","0",FALSE
"59","RT @ajaysinghi11: @AmitAgarwal @JeffBezos @amazonIN @AmazonHelp @amazon We know situation is tough but we really expect from you to deliver","1","2020-05-03 07:13:19","TRUE","2","0",TRUE
"60","@AmitAgarwal @JeffBezos @amazonIN @AmazonHelp @amazon We know situation is tough but we really expect from you to d  ","1","2020-05-03 07:13:14","FALSE","2","1",FALSE
"61","@PMOIndia @narendramodi @AmitShah Please allow non essential items delivery via amazon and flipkart.","0","2020-05-02 17:13:12","FALSE","0","0",FALSE
"62","Technews 3 | Flipkart Amazon Non Essential Items Delivery after 3rd MAY...  ","0","2020-05-02 12:25:46","FALSE","0","0",FALSE
"63","Pls Donate Grocery Essentials box worth Rs 200 and help feed 20 ppl.  ","1","2020-05-02 12:02:16","FALSE","0","0",FALSE
"64","RT @BiIndia: Lockdown3 | @amazonIN, @snapdeal to begin delivery of non-essential goods in green and orange zones from May 4

 ","0","2020-05-02 11:30:55","TRUE","9","0",TRUE
"65","RT @BiIndia: Lockdown3 | @amazonIN, @snapdeal to begin delivery of non-essential goods in green and orange zones from May 4

 ","0","2020-05-02 10:18:08","TRUE","9","0",TRUE
"66","RT @BiIndia: Lockdown3 | @amazonIN, @snapdeal to begin delivery of non-essential goods in green and orange zones from May 4

 ","0","2020-05-02 10:15:12","TRUE","9","0",TRUE
"67","RT @BiIndia: Lockdown3 | @amazonIN, @snapdeal to begin delivery of non-essential goods in green and orange zones from May 4

 ","0","2020-05-02 10:14:58","TRUE","9","0",TRUE
"68","Lockdown3 | @amazonIN, @snapdeal to begin delivery of non-essential goods in green and orange zones from May 4  ","0","2020-05-02 10:04:20","FALSE","9","22",FALSE
"69","RT @reviewndwriteup: As we all know that paperback delivery is not possible until lockdown lasts. But that doesn't mean you can't read my n","0","2020-05-02 09:14:57","TRUE","1","0",FALSE
"70","Will do. Does Amazon has mechanism to rate delivery agent. It's time trustable delivery agents are hired. You can't  ","0","2020-05-02 07:53:29","FALSE","0","0",FALSE
"71","@amazon delivery system sucks. The delivery boys' are arrogant. They don't deliver the item and claim it is deliver  ","-2","2020-05-02 07:17:33","FALSE","0","1",FALSE
"72","@amazonIN I understand that in these difficult times Amazon is doing a great job, but when I see products being del  ","0","2020-05-02 03:22:00","FALSE","0","0",FALSE
"73","@BokaroDc 
Sir pls instruct the City book stalls to accept orders for book not available in the city. They can arra  ","0","2020-05-02 02:53:55","FALSE","0","0",FALSE
"74","@Flipkart @amazon @jharkhand181 @DrRPNishank
 Being a student how can I compromise with the books,every area book s  ","0","2020-05-02 02:26:14","FALSE","0","0",FALSE
"75","Could anyone reply how  ","0","2020-05-01 15:45:32","FALSE","0","0",FALSE
"76","Amazon and Flipkart to resume deliveries of smartphones, laptops in green and orange zones  ","0","2020-05-01 15:34:09","FALSE","0","6",FALSE
"77","@SunOfGan @TapiocaChip No I dont agree with this. I live in Gurgaon. Its mostly deserted, no vehicles on roads. Al  ","0","2020-05-01 13:02:40","FALSE","0","0",FALSE
"78","RT @ravisin95970257:  ","0","2020-05-01 10:36:31","TRUE","1","0",FALSE
