"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"1","Outsource the alcohol through amazon delivery  and close the damn shops","-1","2020-05-05 15:49:58","FALSE","0","5",FALSE
"2","@HelloMixy @ETBrandEquity @dentsuaegis Thats actually spot on. Itll be interesting to see Google shape you last m  ","1","2020-05-05 14:06:03","FALSE","0","1",FALSE
"3","@amazonIN Your delivery agent is not good as your name. Not delivered my delivery whenever I met him at my home (de  ","1","2020-05-05 12:31:04","FALSE","0","0",FALSE
"4","Flipkart Amazon Sale 2020, Mobile Price Cut, Red Zone Delivery, COD Available? 
 ","1","2020-05-05 11:07:48","FALSE","0","1",FALSE
"5","@sanjayips89 @vishal40217 Allow purchase ONLY through home delivery/online purchase? Will ensure revenue, prevent c  ","0","2020-05-05 08:05:05","FALSE","0","0",FALSE
"6","RT @Kashiikaa: Why isn't delivery of books considered necessary? If amazon, flipkart etc can deliver their products then why our faculties","0","2020-05-05 03:59:42","TRUE","1","0",FALSE
"7","@MumbaiPolice @AUThackeray The only two viable options are: 
1. Close down the liqour stores.
2. Home deliver the l  ","0","2020-05-05 03:27:26","FALSE","0","0",FALSE
"8","RT @SuB8u: @pankajontech Grocery delivery, even in normal times, is not an easy business. Bigbasket has done more than a decent job in thes","2","2020-05-05 03:10:22","TRUE","2","0",FALSE
"9","@PMOIndia @MoHFW_INDIA @FinMinIndia @ArvindKejriwal when liquor shops with long queues. Open online sales of non  ","0","2020-05-05 02:31:20","FALSE","0","1",FALSE
"10","@vippussay amazon delivery duh","0","2020-05-04 23:45:50","FALSE","0","0",FALSE
"11","@RajatThosar BTW Amazon is working for essential services delivery in India.","0","2020-05-04 20:39:28","FALSE","0","1",FALSE
"12","RT @SACHINTAK55: AMAZON BIGOBASKET CORONA delivery essential FOODS GROFERS NOW D FOR DARU wineshops liquor alcohol ZOMATO DUNZ","0","2020-05-04 18:49:42","TRUE","1","0",FALSE
"13","AMAZON BIGOBASKET CORONA delivery essential FOODS GROFERS NOW D FOR DARU wineshops liquor alcohol  ","0","2020-05-04 18:49:00","FALSE","1","2",FALSE
"14","@RangaSiyaar1 License and excise already with the booze shops. Only delivery can happen through Swiggy, Zomato, den  ","0","2020-05-04 16:46:24","FALSE","0","2",FALSE
"15","@RangaSiyaar1 Yes that is also good idea. Bombay home delivery is old practice but maybe not possible in every city  ","1","2020-05-04 16:37:14","FALSE","0","1",FALSE
"16","@PMOIndia @ashokgehlot51 Dear Sir ...Please arrange online delivery of Wine so the citizens never face social dista  ","0","2020-05-04 13:51:38","FALSE","0","0",FALSE
"17","RT @SuB8u: @pankajontech Grocery delivery, even in normal times, is not an easy business. Bigbasket has done more than a decent job in thes","2","2020-05-04 13:50:45","TRUE","2","0",TRUE
"18","Amazon charging 350 delivery charges for mrp 190 to deliver patanjali chawanprash that to prime members ...what is  ","0","2020-05-04 13:03:56","FALSE","0","0",FALSE
"19","@pankajontech Grocery delivery, even in normal times, is not an easy business. Bigbasket has done more than a decen  ","1","2020-05-04 11:52:08","FALSE","2","6",FALSE
"20","@poetrywala @uddhavthackeray @DivateSmruti @asanyfuleknow @ShampooChats @Chemburstudio @MenkaShivdasan1  ","0","2020-05-04 09:50:23","FALSE","0","0",FALSE
"21","@prateekkanwal That is good, Home delivery app for Liqueur&gt; Imagine it starts on Amazon. lol like how Instacart does in US&gt;","2","2020-05-04 09:16:20","FALSE","0","0",FALSE
"22","@Suparna_Singh Why cant they do amazon prime home delivery ","0","2020-05-04 08:02:43","FALSE","0","1",FALSE
"23","RT @SandeepParekh: It appears that my book has re-surfaced on the first day of Lockdown III. Not available for delivery in Maharashtra thou","1","2020-05-04 07:25:41","TRUE","11","0",FALSE
"24","RT @SandeepParekh: It appears that my book has re-surfaced on the first day of Lockdown III. Not available for delivery in Maharashtra thou","1","2020-05-04 07:07:21","TRUE","11","0",TRUE
"25","What is more risky ? Getting Amazon delivery of non essentials say like a TV or food from Zomato  / swiggy ?  ","0","2020-05-04 06:56:28","FALSE","0","0",FALSE
"26","@shukla_tarun They will need the delivery strength of an amazon then, they should permit amazon flipkart and all th  ","0","2020-05-04 06:56:20","FALSE","0","1",FALSE
"27","RT @SandeepParekh: It appears that my book has re-surfaced on the first day of Lockdown III. Not available for delivery in Maharashtra thou","1","2020-05-04 05:03:06","TRUE","11","0",TRUE
"28","RT @SandeepParekh: It appears that my book has re-surfaced on the first day of Lockdown III. Not available for delivery in Maharashtra thou","1","2020-05-04 04:33:37","TRUE","11","0",TRUE
"29","RT @SandeepParekh: It appears that my book has re-surfaced on the first day of Lockdown III. Not available for delivery in Maharashtra thou","1","2020-05-04 04:30:16","TRUE","11","0",TRUE
"30","RT @SandeepParekh: It appears that my book has re-surfaced on the first day of Lockdown III. Not available for delivery in Maharashtra thou","1","2020-05-04 04:27:37","TRUE","11","0",TRUE
"31","It appears that my book has re-surfaced on the first day of Lockdown III. Not available for delivery in Maharashtra  ","1","2020-05-04 04:25:45","FALSE","11","64",FALSE
"32","lockdown: Amazon, Flipkart will deliver smartphones, laptops and accessories from today  amazon flipkart ecommerce  ","0","2020-05-04 04:23:47","FALSE","0","0",FALSE
"33","Really impressed as  @amazonIN is taking care of its Flex delivery boys in this hard time. Glad to be one of  the p  ","1","2020-05-03 21:39:54","FALSE","0","0",FALSE
