"","ttext","date","isretweet","retweetcount","favoritecount","score","city","country","duplicate"
"1","AhmedBaba_: Make no mistake about what this is.

Trump is using the coronavirus pandemic as an opportunity to withhold aid in an effort","2020-04-24 17:28:54","TRUE","158","0","-1","Delhi NCR","India",FALSE
"2","AhmedBaba_: Make no mistake about what this is.

Trump is using the coronavirus pandemic as an opportunity to withhold aid in an effort","2020-04-24 17:28:53","TRUE","158","0","-1","Delhi NCR","India",TRUE
"3","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:28:51","TRUE","73","0","-1","Delhi NCR","India",FALSE
"4","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:28:45","TRUE","73","0","-1","Delhi NCR","India",TRUE
"5","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:28:07","TRUE","73","0","-1","Delhi NCR","India",TRUE
"6","BruceWatson43 Fly_Pete jeffmason1 I think it would still need to be in some package delivery since there are a l  ","2020-04-24 17:28:07","FALSE","0","0","0","Delhi NCR","India",FALSE
"7","ToddGunn11 ABC He said they should raise the price of package delivery for Amazon and others who pay literally nothing.","2020-04-24 17:28:03","FALSE","0","1","0","Delhi NCR","India",FALSE
"8","atrupar To strike back at WaPo for coverage he doesnt like (aka the free press), Trump goes after WaPo owner Jeff  ","2020-04-24 17:27:58","FALSE","0","0","2","Delhi NCR","India",FALSE
"9","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:27:28","TRUE","73","0","-1","Delhi NCR","India",TRUE
"10","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:27:18","TRUE","73","0","-1","Delhi NCR","India",TRUE
"11","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:27:09","TRUE","73","0","-1","Delhi NCR","India",TRUE
"12","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:26:57","TRUE","73","0","-1","Delhi NCR","India",TRUE
"13","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:26:54","TRUE","73","0","-1","Delhi NCR","India",TRUE
"14","I just got an Amazon Fresh delivery actually scheduled, after two weeks of trying, and it has TOILET PAPER (3 packs  ","2020-04-24 17:26:54","FALSE","0","1","1","Delhi NCR","India",FALSE
"15","DukeStJournal The value in amazon delivery is the same as google fiber - it exists predominantly as a negotiating  ","2020-04-24 17:26:53","FALSE","0","0","0","Delhi NCR","India",FALSE
"16","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:26:31","TRUE","73","0","-1","Delhi NCR","India",TRUE
"17","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:26:12","TRUE","73","0","-1","Delhi NCR","India",TRUE
"18","AhmedBaba_: Make no mistake about what this is.

Trump is using the coronavirus pandemic as an opportunity to withhold aid in an effort","2020-04-24 17:26:09","TRUE","158","0","-1","Delhi NCR","India",TRUE
"19","amazon  Your delivery drivers should be wearing masks and gloves. EVERY ONE OF THEM","2020-04-24 17:26:08","FALSE","0","0","0","Delhi NCR","India",FALSE
"20","amnestyusa: We stand in solidarity with amazon workers who are speaking up for their rights. Amazon warehouse and delivery workers ar","2020-04-24 17:26:06","TRUE","5","0","1","Delhi NCR","India",FALSE
"21","The only thing keeping me sane this quarantine is how amazon has CONTINUOUSLY delivered a day earlier than the exp  ","2020-04-24 17:25:59","FALSE","0","0","1","Delhi NCR","India",FALSE
"22","smacktuna: Almost 30 million Americans unemployed and our moronic President is insisting on raising the prices of postal system package","2020-04-24 17:25:54","TRUE","2","0","-2","Delhi NCR","India",FALSE
"23","Omg the Amazon delivery guy arrived like Santa! Thank you spreadkindness people. I think we can all agree I suit a  ","2020-04-24 17:25:28","FALSE","0","7","2","Delhi NCR","India",FALSE
"24","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:25:11","TRUE","73","0","-1","Delhi NCR","India",TRUE
"25","thebookgirl985 amazon Jeff Bezos could buy a delivery company &amp; I'm surprised that he hasn't already.","2020-04-24 17:25:06","FALSE","0","0","0","Delhi NCR","India",FALSE
"26","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:25:02","TRUE","73","0","-1","Delhi NCR","India",TRUE
"27","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:24:45","TRUE","73","0","-1","Delhi NCR","India",TRUE
"28","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:24:24","TRUE","73","0","-1","Delhi NCR","India",TRUE
"29","StuffToSpout mkraju This is just his personal grievance with Jeff Bezos. He wants the post office to charge Amazo  ","2020-04-24 17:24:11","FALSE","0","1","-1","Delhi NCR","India",FALSE
"30","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:23:41","TRUE","73","0","-1","Delhi NCR","India",TRUE
"31","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:23:37","TRUE","73","0","-1","Delhi NCR","India",TRUE
"32","viajetjaguar: do you think im going to remember all of these far away amazon estimated delivery dates? do you think ill even remember","2020-04-24 17:23:33","TRUE","3","0","0","Delhi NCR","India",FALSE
"33","rockymessenger jamespoulos Amazon delivery drones as a teledildonics service.

Big Brother is touching you.","2020-04-24 17:23:19","FALSE","0","1","-1","Delhi NCR","India",FALSE
"34","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:23:13","TRUE","73","0","-1","Delhi NCR","India",TRUE
"35","amnestyusa: We stand in solidarity with amazon workers who are speaking up for their rights. Amazon warehouse and delivery workers ar","2020-04-24 17:22:53","TRUE","5","0","1","Delhi NCR","India",TRUE
